-0.055571,1.5723,1.2334,2.7169,3.4818,3.9781,2.4966,1.5723,1.2334,2.7169,3.4818,3.9781,2.4966,2.4721,1.5213,7.3816,12.123,15.825,6.233
0.070505,4.0461,3.3813,0.64885,1.6677,3.457,4.0676,4.0461,3.3813,0.64885,1.6677,3.457,4.0676,16.371,11.433,0.42101,2.7812,11.951,16.546
-0.28406,2.3073,3.7965,2.7611,2.9012,4.249,1.1741,2.3073,3.7965,2.7611,2.9012,4.249,1.1741,5.3234,14.414,7.6237,8.4167,18.054,1.3785
0.24722,2.9357,2.9309,0.74532,1.4392,2.5614,0.11132,2.9357,2.9309,0.74532,1.4392,2.5614,0.11132,8.6184,8.5905,0.5555,2.0713,6.5608,0.012392
-0.11663,2.388,4.1122,1.2927,1.3199,4.2752,1.5056,2.388,4.1122,1.2927,1.3199,4.2752,1.5056,5.7024,16.91,1.6712,1.742,18.277,2.2669
0.92949,2.7623,4.6342,2.6436,1.2995,2.3272,1.4903,2.7623,4.6342,2.6436,1.2995,2.3272,1.4903,7.6301,21.476,6.9884,1.6887,5.4159,2.221
0.96623,0.87658,3.1878,4.0669,3.3854,1.3242,4.1296,0.87658,3.1878,4.0669,3.3854,1.3242,4.1296,0.7684,10.162,16.54,11.461,1.7536,17.054
0.030608,2.9362,0.094689,3.5927,2.5991,3.1474,0.68198,2.9362,0.094689,3.5927,2.5991,3.1474,0.68198,8.6214,0.0089661,12.907,6.7555,9.9063,0.46509
-0.10591,0.77401,0.9217,2.5041,0.38377,2.8137,4.0729,0.77401,0.9217,2.5041,0.38377,2.8137,4.0729,0.59909,0.84954,6.2705,0.14728,7.9167,16.589
0.09908,2.2273,0.1337,4.4699,0.27923,2.7058,4.3054,2.2273,0.1337,4.4699,0.27923,2.7058,4.3054,4.9607,0.017877,19.98,0.077967,7.3213,18.537
0.79738,2.6881,4.675,4.7536,1.2936,1.9666,2.7647,2.6881,4.675,4.7536,1.2936,1.9666,2.7647,7.2259,21.856,22.597,1.6735,3.8673,7.6436
0.44899,2.3095,2.4223,2.3118,2.1996,2.1023,0.092649,2.3095,2.4223,2.3118,2.1996,2.1023,0.092649,5.3338,5.8677,5.3443,4.8384,4.4197,0.0085839
1.0106,4.1705,3.9739,1.438,1.4214,0.68561,2.5391,4.1705,3.9739,1.438,1.4214,0.68561,2.5391,17.393,15.792,2.0678,2.0205,0.47006,6.4471
0.96914,4.9809,2.2842,4.6318,3.3938,1.4609,3.5682,4.9809,2.2842,4.6318,3.3938,1.4609,3.5682,24.809,5.2175,21.454,11.518,2.1342,12.732
